years_before_present	Ne_Auto	Ne_X	Ne_X/Ne_Auto	species
217676.072842105	57.32925	25.9718684309211	0.4530299704063998	PAC
234983.42307	57.32925	26.215338186216037	0.4572768383716172	PAC
241467.497190789	57.32925	26.3065523766447	0.4588678968701788	PAC
263967.945285	57.32925	26.3065523766447	0.4588678968701788	PAC
267324.753618421	57.32925	26.3065523766447	0.4588678968701788	PAC
295354.563075	57.32925	26.290907857959276	0.45859500792281904	PAC
295427.50418421	57.32925	26.2908671467105	0.4585942977923224	PAC
325970.05425	57.32925	26.2908671467105	0.4585942977923224	PAC
329342.78223	57.32925	26.3466777576624	0.459567808015322	PAC
359164.731703947	57.32925	26.8401599565789	0.46817566873068983	PAC
366149.307315	57.32925	26.8401599565789	0.46817566873068983	PAC
395241.886960526	57.32925	26.8401599565789	0.46817566873068983	PAC
406005.7485	57.32925	27.31946944333574	0.4765363133711978	PAC
434451.582572368	57.32925	28.5861485138158	0.4986311265857446	PAC
449167.79424	57.32925	28.5861485138158	0.4986311265857446	PAC
477065.846046053	57.32925	28.5861485138158	0.4986311265857446	PAC
495906.038595	57.32925	29.29491814291143	0.5109942680727801	PAC
523380.359453947	57.32925	30.3285044055921	0.5290232194838079	PAC
546519.74025	57.32925	30.3285044055921	0.5290232194838079	PAC
573716.149046053	57.32925	30.3285044055921	0.5290232194838079	PAC
601329.943005	57.32925	30.527374324405944	0.5324921279173536	PAC
628422.964473684	57.32925	30.7224937269737	0.5358956157105439	PAC
660682.91553	57.32925	30.7224937269737	0.5358956157105439	PAC
687880.405197368	57.32925	30.7224937269737	0.5358956157105439	PAC
724955.88429	57.32925	30.457682725052674	0.5312764901869931	PAC
752500.173302631	57.32925	30.2609480921053	0.5278448277642791	PAC
794557.033545	57.32925	30.2609480921053	0.5278448277642791	PAC
822730.579131579	57.32925	30.2609480921053	0.5278448277642791	PAC
869926.651935	57.32925	29.996894271071902	0.5232389098247736	PAC
899059.920506579	57.32925	29.8338986990132	0.5203957613088118	PAC
951546.30516	57.32925	29.8338986990132	0.5203957613088118	PAC
982016.482730263	57.32925	29.8338986990132	0.5203957613088118	PAC
1039930.809885	57.32925	29.779017490214226	0.5194384627430888	PAC
1072176.42344079	57.32925	29.7484606601974	0.5189054568165011	PAC
1135641.99276	57.32925	29.7484606601974	0.5189054568165011	PAC
1170164.89901974	57.32925	29.7484606601974	0.5189054568165011	PAC
1239287.543835	57.32925	29.983527806075834	0.5230057572020537	PAC
1276662.25983553	57.32925	30.1106289585526	0.5252227956680507	PAC
1351524.456315	57.32925	30.1106289585526	0.5252227956680507	PAC
1392406.86626316	57.32925	30.1106289585526	0.5252227956680507	PAC
1473065.90607	57.32925	30.68080897668975	0.5351685043270189	PAC
1518201.28392763	57.32925	30.9998716710526	0.5407339476977738	PAC
1604682.39822	57.32925	30.9998716710526	0.5407339476977738	PAC
1654919.04215132	57.32925	30.9998716710526	0.5407339476977738	PAC
1747209.79323	57.32925	31.839040685572108	0.5553716590670924	PAC
1803508.01317763	57.32925	32.3509416203947	0.5643007996859317	PAC
1901552.746665	57.32925	32.3509416203947	0.5643007996859317	PAC
1964998.86023026	57.32925	32.3509416203947	0.5643007996859317	PAC
2068689.29553	57.32925	33.25753502503352	0.5801146016219211	PAC
2140512.35916447	57.32925	33.8855034157895	0.5910683188039177	PAC
2249681.177535	57.32925	33.8855034157895	0.5910683188039177	PAC
2331265.59371053	57.32925	33.8855034157895	0.5910683188039177	PAC
2445676.124265	57.32925	34.64047933080061	0.6042374412852184	PAC
2538582.65634868	57.32925	35.2535539641447	0.6149313651259122	PAC
2657919.32703	57.32925	35.2535539641447	0.6149313651259122	PAC
2763900.84355263	57.32925	35.2535539641447	0.6149313651259122	PAC
2887755.730035	57.32925	35.75915241945304	0.623750570946821	PAC
3008784.17268421	57.32925	36.2532128105263	0.6323685171274053	PAC
3136644.935985	57.32925	36.2532128105263	0.6323685171274053	PAC
3274930.70364474	57.32925	36.2532128105263	0.6323685171274053	PAC
3406166.93901	57.32925	36.5382534471235	0.6373405102477967	PAC
3564186.61897368	57.32925	36.8814668138158	0.643327216278179	PAC
3698031.297345	57.32925	36.8814668138158	0.643327216278179	PAC
3878559.74074342	57.32925	36.8814668138158	0.643327216278179	PAC
