years_before_present	Ne_Auto	Ne_X	Ne_X/Ne_Auto	species
494601.239617105	13.5600780604	8.51764773138158	0.6281414969325274	BI
515407.744692	13.5600780604	8.51764773138158	0.6281414969325274	BI
536359.450728947	14.463955633200714	8.51764773138158	0.5888878497269504	BI
564767.005865	15.68948600005	8.777824267950438	0.5594717550289706	BI
581532.145401316	15.68948600005	8.9313713056579	0.569258375043608	BI
618704.375706	15.68948600005	8.9313713056579	0.569258375043608	BI
630398.585238158	16.670192129643468	8.9313713056579	0.5357689483239878	BI
677644.930835	20.63239073745	8.146013357175772	0.3948167452252581	BI
683260.861519737	20.63239073745	8.05266188743421	0.39029223466661894	BI
740445.824471053	20.63239073745	8.05266188743421	0.39029223466661894	BI
742052.406415	20.63239073745	8.047734704334163	0.39005342651477914	BI
802306.690985526	24.38812370659166	7.86294245407895	0.32240866696742815	BI
