nodename	dN	dS	id
TENT_DUM	0.005272	0.053443	x_100_26
BI	0.001591	0.011057	x_100_26
PAC	0.000273	0.003879	x_100_26
SARA	0.000978	0.00712	x_100_26
PAC_SARA	0.000731	0.007412	x_100_26
BI_PAC_SARA	0.003823	0.045252	x_100_26
TENT_DUM_BI_PAC_SARA	0.001953	0.016717	x_100_26
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_26
LIN	0.014407	0.132519	x_100_27
AFR	0.000852	0.006119	x_100_27
MIM	0.001184	0.005956	x_100_27
AFR_MIM	0.005555	0.060198	x_100_27
TENT	0.00133	0.005979	x_100_27
DUM	0.001629	0.007346	x_100_27
TENT_DUM	0.005604	0.050927	x_100_27
BI	0.001376	0.009214	x_100_27
PAC	0.000187	0.002041	x_100_27
SARA	0.000866	0.00533	x_100_27
PAC_SARA	0.000754	0.006937	x_100_27
BI_PAC_SARA	0.003445	0.044476	x_100_27
TENT_DUM_BI_PAC_SARA	0.00127	0.01631	x_100_27
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_27
LIN	0.013771	0.136058	x_100_28
AFR	0.000716	0.00599	x_100_28
MIM	0.001455	0.0069	x_100_28
AFR_MIM	0.005502	0.063221	x_100_28
TENT	0.001065	0.006726	x_100_28
DUM	0.001541	0.006244	x_100_28
TENT_DUM	0.006141	0.050351	x_100_28
BI	0.001524	0.010065	x_100_28
PAC	0.000222	0.003359	x_100_28
SARA	0.001022	0.006612	x_100_28
PAC_SARA	0.000655	0.006475	x_100_28
BI_PAC_SARA	0.003799	0.044741	x_100_28
TENT_DUM_BI_PAC_SARA	0.001804	0.014562	x_100_28
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_28
LIN	0.013775	0.137241	x_100_29
AFR	0.00077	0.006339	x_100_29
MIM	0.001465	0.006522	x_100_29
AFR_MIM	0.005331	0.064509	x_100_29
TENT	0.001282	0.006594	x_100_29
DUM	0.001586	0.007585	x_100_29
TENT_DUM	0.005813	0.053511	x_100_29
BI	0.001314	0.010597	x_100_29
PAC	0.000187	0.003074	x_100_29
SARA	0.001018	0.007833	x_100_29
PAC_SARA	0.000613	0.006103	x_100_29
BI_PAC_SARA	0.003633	0.045348	x_100_29
TENT_DUM_BI_PAC_SARA	0.001929	0.016983	x_100_29
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_29
LIN	0.016385	0.134367	x_100_2
AFR	0.000726	0.006725	x_100_2
MIM	0.001287	0.006951	x_100_2
AFR_MIM	0.005783	0.062579	x_100_2
TENT	0.001477	0.00636	x_100_2
DUM	0.001286	0.006808	x_100_2
TENT_DUM	0.006005	0.049815	x_100_2
BI	0.001552	0.010199	x_100_2
PAC	0.000191	0.003214	x_100_2
SARA	0.00097	0.006276	x_100_2
PAC_SARA	0.000678	0.005563	x_100_2
BI_PAC_SARA	0.0044	0.04277	x_100_2
TENT_DUM_BI_PAC_SARA	0.00197	0.017748	x_100_2
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_2
