nodename	dN	dS	id
MIM	0.001177	0.009623	auto_500_113
AFR_MIM	0.00446	0.05943	auto_500_113
TENT	0.000976	0.006811	auto_500_113
DUM	0.00103	0.006698	auto_500_113
TENT_DUM	0.004475	0.049252	auto_500_113
BI	0.001548	0.013397	auto_500_113
PAC	0.000142	0.00187	auto_500_113
SARA	0.000881	0.007599	auto_500_113
PAC_SARA	0.000462	0.006118	auto_500_113
BI_PAC_SARA	0.002767	0.041583	auto_500_113
TENT_DUM_BI_PAC_SARA	0.001418	0.018922	auto_500_113
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_113
LIN	0.01134	0.136271	auto_500_114
AFR	0.000924	0.008701	auto_500_114
MIM	0.001134	0.008557	auto_500_114
AFR_MIM	0.004703	0.057725	auto_500_114
TENT	0.001174	0.006765	auto_500_114
DUM	0.0012	0.00637	auto_500_114
TENT_DUM	0.004891	0.048769	auto_500_114
BI	0.001655	0.01335	auto_500_114
PAC	0.000197	0.001758	auto_500_114
SARA	0.000984	0.006997	auto_500_114
PAC_SARA	0.00053	0.006365	auto_500_114
BI_PAC_SARA	0.002913	0.041541	auto_500_114
TENT_DUM_BI_PAC_SARA	0.001569	0.01931	auto_500_114
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_114
LIN	0.009327	0.131725	auto_500_115
AFR	0.000713	0.0087	auto_500_115
MIM	0.000932	0.009039	auto_500_115
AFR_MIM	0.004071	0.05572	auto_500_115
TENT	0.001097	0.006513	auto_500_115
DUM	0.00105	0.006366	auto_500_115
TENT_DUM	0.004063	0.047953	auto_500_115
BI	0.001551	0.013525	auto_500_115
PAC	0.000204	0.001573	auto_500_115
SARA	0.000886	0.006635	auto_500_115
PAC_SARA	0.000461	0.006513	auto_500_115
BI_PAC_SARA	0.002643	0.041269	auto_500_115
TENT_DUM_BI_PAC_SARA	0.001205	0.016657	auto_500_115
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_115
LIN	0.010369	0.137286	auto_500_116
AFR	0.000766	0.008668	auto_500_116
MIM	0.001088	0.008927	auto_500_116
AFR_MIM	0.004565	0.059183	auto_500_116
TENT	0.001009	0.007951	auto_500_116
DUM	0.001155	0.006355	auto_500_116
TENT_DUM	0.00473	0.047847	auto_500_116
BI	0.001501	0.015546	auto_500_116
PAC	0.000195	0.001725	auto_500_116
SARA	0.000949	0.006981	auto_500_116
PAC_SARA	0.000457	0.006045	auto_500_116
BI_PAC_SARA	0.00297	0.041284	auto_500_116
TENT_DUM_BI_PAC_SARA	0.001463	0.019267	auto_500_116
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_116
LIN	0.010406	0.136503	auto_500_117
AFR	0.000947	0.009793	auto_500_117
MIM	0.001015	0.00899	auto_500_117
AFR_MIM	0.004652	0.0603	auto_500_117
TENT	0.001049	0.006783	auto_500_117
DUM	0.001149	0.006527	auto_500_117
TENT_DUM	0.004354	0.049404	auto_500_117
BI	0.001657	0.012767	auto_500_117
PAC	0.000136	0.001624	auto_500_117
SARA	0.0009	0.006873	auto_500_117
PAC_SARA	0.000499	0.006543	auto_500_117
BI_PAC_SARA	0.003051	0.042675	auto_500_117
TENT_DUM_BI_PAC_SARA	0.00149	0.020259	auto_500_117
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_117
LIN	0.00991	0.131536	auto_500_118
AFR	0.000711	0.008565	auto_500_118
MIM	0.000945	0.008422	auto_500_118
AFR_MIM	0.00439	0.060684	auto_500_118
TENT	0.001049	0.006866	auto_500_118
DUM	0.001073	0.006957	auto_500_118
TENT_DUM	0.00458	0.047287	auto_500_118
BI	0.001435	0.013041	auto_500_118
PAC	0.000126	0.001772	auto_500_118
SARA	0.000898	0.006482	auto_500_118
PAC_SARA	0.000492	0.00653	auto_500_118
BI_PAC_SARA	0.002891	0.041558	auto_500_118
TENT_DUM_BI_PAC_SARA	0.001393	0.019004	auto_500_118
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_118
LIN	0.009146	0.134271	auto_500_119
AFR	0.000864	0.009805	auto_500_119
MIM	0.001168	0.009422	auto_500_119
AFR_MIM	0.004423	0.058327	auto_500_119
TENT	0.000996	0.006455	auto_500_119
DUM	0.001065	0.006589	auto_500_119
TENT_DUM	0.004528	0.046971	auto_500_119
BI	0.001695	0.013083	auto_500_119
PAC	0.000195	0.001664	auto_500_119
SARA	0.000904	0.007064	auto_500_119
PAC_SARA	0.000452	0.006641	auto_500_119
BI_PAC_SARA	0.002814	0.042185	auto_500_119
TENT_DUM_BI_PAC_SARA	0.001418	0.018129	auto_500_119
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_119
LIN	0.010922	0.131318	auto_500_11
AFR	0.00093	0.009994	auto_500_11
MIM	0.001142	0.009396	auto_500_11
AFR_MIM	0.004991	0.05657	auto_500_11
TENT	0.00103	0.006626	auto_500_11
DUM	0.001203	0.006283	auto_500_11
TENT_DUM	0.005042	0.047921	auto_500_11
BI	0.001662	0.013563	auto_500_11
PAC	0.00018	0.001738	auto_500_11
SARA	0.000963	0.007138	auto_500_11
PAC_SARA	0.000541	0.006502	auto_500_11
BI_PAC_SARA	0.00311	0.039616	auto_500_11
TENT_DUM_BI_PAC_SARA	0.001522	0.018743	auto_500_11
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_11
LIN	0.010017	0.130181	auto_500_120
AFR	0.000865	0.009106	auto_500_120
MIM	0.001031	0.008868	auto_500_120
AFR_MIM	0.004419	0.056548	auto_500_120
TENT	0.000932	0.006465	auto_500_120
DUM	0.001272	0.004694	auto_500_120
TENT_DUM	0.004536	0.04688	auto_500_120
BI	0.001532	0.012877	auto_500_120
PAC	0.000135	0.001314	auto_500_120
SARA	0.000988	0.006559	auto_500_120
PAC_SARA	0.000474	0.006163	auto_500_120
BI_PAC_SARA	0.002924	0.04126	auto_500_120
TENT_DUM_BI_PAC_SARA	0.001532	0.017604	auto_500_120
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_120
LIN	0.010057	0.137134	auto_500_121
AFR	0.000843	0.009142	auto_500_121
MIM	0.001125	0.009046	auto_500_121
AFR_MIM	0.004543	0.059035	auto_500_121
TENT	0.001017	0.006922	auto_500_121
DUM	0.001122	0.00657	auto_500_121
TENT_DUM	0.004704	0.048017	auto_500_121
BI	0.001634	0.014007	auto_500_121
PAC	0.000175	0.001926	auto_500_121
SARA	0.000972	0.007295	auto_500_121
PAC_SARA	0.000475	0.006479	auto_500_121
BI_PAC_SARA	0.002771	0.043066	auto_500_121
TENT_DUM_BI_PAC_SARA	0.001296	0.018502	auto_500_121
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_121
LIN	0.010597	0.136379	auto_500_122
AFR	0.00074	0.008317	auto_500_122
MIM	0.001038	0.007902	auto_500_122
AFR_MIM	0.004668	0.05848	auto_500_122
TENT	0.001033	0.006668	auto_500_122
DUM	0.001178	0.006369	auto_500_122
TENT_DUM	0.00499	0.048708	auto_500_122
BI	0.00168	0.013355	auto_500_122
PAC	0.000157	0.001735	auto_500_122
SARA	0.000869	0.006658	auto_500_122
PAC_SARA	0.000493	0.006348	auto_500_122
BI_PAC_SARA	0.002883	0.042188	auto_500_122
TENT_DUM_BI_PAC_SARA	0.001513	0.017484	auto_500_122
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_122
LIN	0.010405	0.135277	auto_500_123
AFR	0.000731	0.009923	auto_500_123
MIM	0.001076	0.009237	auto_500_123
AFR_MIM	0.004272	0.057838	auto_500_123
TENT	0.001188	0.006289	auto_500_123
DUM	0.001058	0.006477	auto_500_123
TENT_DUM	0.004527	0.049458	auto_500_123
BI	0.001602	0.014139	auto_500_123
PAC	0.00013	0.001368	auto_500_123
SARA	0.000856	0.006223	auto_500_123
PAC_SARA	0.000512	0.006659	auto_500_123
BI_PAC_SARA	0.002916	0.041033	auto_500_123
TENT_DUM_BI_PAC_SARA	0.001339	0.019164	auto_500_123
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_123
LIN	0.009153	0.130497	auto_500_124
AFR	0.000789	0.009095	auto_500_124
MIM	0.001051	0.008817	auto_500_124
AFR_MIM	0.004513	0.059172	auto_500_124
TENT	0.001062	0.006637	auto_500_124
DUM	0.00117	0.006279	auto_500_124
TENT_DUM	0.004333	0.048841	auto_500_124
BI	0.001575	0.013848	auto_500_124
PAC	0.000101	0.001695	auto_500_124
SARA	0.000906	0.007069	auto_500_124
PAC_SARA	0.000458	0.006534	auto_500_124
BI_PAC_SARA	0.002812	0.042274	auto_500_124
TENT_DUM_BI_PAC_SARA	0.001372	0.018497	auto_500_124
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_124
LIN	0.010606	0.131118	auto_500_125
AFR	0.000924	0.008939	auto_500_125
MIM	0.001113	0.00888	auto_500_125
AFR_MIM	0.00454	0.059068	auto_500_125
TENT	0.00117	0.007027	auto_500_125
DUM	0.001164	0.006347	auto_500_125
TENT_DUM	0.004606	0.048064	auto_500_125
BI	0.001648	0.014048	auto_500_125
PAC	0.000184	0.001762	auto_500_125
SARA	0.00093	0.006847	auto_500_125
PAC_SARA	0.000526	0.006501	auto_500_125
BI_PAC_SARA	0.002864	0.041873	auto_500_125
TENT_DUM_BI_PAC_SARA	0.001495	0.018175	auto_500_125
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_125
LIN	0.009482	0.133791	auto_500_126
AFR	0.000843	0.008965	auto_500_126
MIM	0.001033	0.009607	auto_500_126
AFR_MIM	0.00477	0.060331	auto_500_126
TENT	0.00101	0.006596	auto_500_126
DUM	0.001242	0.006203	auto_500_126
TENT_DUM	0.004601	0.045749	auto_500_126
BI	0.001578	0.012962	auto_500_126
PAC	0.00017	0.001906	auto_500_126
SARA	0.000929	0.006527	auto_500_126
PAC_SARA	0.000503	0.007094	auto_500_126
BI_PAC_SARA	0.002971	0.042979	auto_500_126
TENT_DUM_BI_PAC_SARA	0.001525	0.018911	auto_500_126
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_126
LIN	0.010837	0.132632	auto_500_127
AFR	0.000943	0.00984	auto_500_127
MIM	0.001064	0.009055	auto_500_127
AFR_MIM	0.004661	0.059216	auto_500_127
TENT	0.001238	0.007183	auto_500_127
DUM	0.001074	0.006301	auto_500_127
TENT_DUM	0.005055	0.048045	auto_500_127
BI	0.00171	0.013775	auto_500_127
PAC	0.000238	0.001908	auto_500_127
SARA	0.001022	0.006906	auto_500_127
PAC_SARA	0.000571	0.006984	auto_500_127
BI_PAC_SARA	0.003125	0.041127	auto_500_127
TENT_DUM_BI_PAC_SARA	0.001462	0.01932	auto_500_127
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_127
LIN	0.010215	0.136497	auto_500_128
AFR	0.000879	0.009588	auto_500_128
MIM	0.001032	0.009028	auto_500_128
AFR_MIM	0.005024	0.057818	auto_500_128
TENT	0.001016	0.006145	auto_500_128
DUM	0.001092	0.00626	auto_500_128
TENT_DUM	0.004913	0.048131	auto_500_128
BI	0.00194	0.013229	auto_500_128
PAC	0.000189	0.001988	auto_500_128
SARA	0.001075	0.007298	auto_500_128
PAC_SARA	0.000529	0.007072	auto_500_128
BI_PAC_SARA	0.003097	0.041337	auto_500_128
TENT_DUM_BI_PAC_SARA	0.001636	0.019132	auto_500_128
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_128
LIN	0.009676	0.132742	auto_500_129
AFR	0.000818	0.009501	auto_500_129
MIM	0.001035	0.008953	auto_500_129
AFR_MIM	0.004446	0.058318	auto_500_129
TENT	0.001178	0.006946	auto_500_129
DUM	0.001166	0.006062	auto_500_129
TENT_DUM	0.004559	0.04806	auto_500_129
BI	0.001538	0.013048	auto_500_129
PAC	0.000158	0.001588	auto_500_129
SARA	0.000915	0.00696	auto_500_129
PAC_SARA	0.000443	0.006072	auto_500_129
BI_PAC_SARA	0.002577	0.042035	auto_500_129
TENT_DUM_BI_PAC_SARA	0.001369	0.017327	auto_500_129
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_129
LIN	0.010138	0.131746	auto_500_12
AFR	0.000882	0.009158	auto_500_12
MIM	0.000928	0.007973	auto_500_12
AFR_MIM	0.004447	0.05933	auto_500_12
TENT	0.00099	0.00717	auto_500_12
DUM	0.001037	0.006798	auto_500_12
TENT_DUM	0.004592	0.047607	auto_500_12
BI	0.001583	0.012779	auto_500_12
PAC	0.00013	0.00172	auto_500_12
SARA	0.000896	0.00681	auto_500_12
PAC_SARA	0.000473	0.006151	auto_500_12
BI_PAC_SARA	0.002792	0.041739	auto_500_12
TENT_DUM_BI_PAC_SARA	0.001341	0.019763	auto_500_12
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_12
LIN	0.009043	0.136696	auto_500_130
AFR	0.000824	0.008754	auto_500_130
MIM	0.001035	0.008651	auto_500_130
AFR_MIM	0.004088	0.057105	auto_500_130
TENT	0.001004	0.007127	auto_500_130
DUM	0.001174	0.006127	auto_500_130
TENT_DUM	0.004363	0.047803	auto_500_130
BI	0.001484	0.01389	auto_500_130
PAC	0.000108	0.00125	auto_500_130
SARA	0.000843	0.006174	auto_500_130
PAC_SARA	0.000449	0.006782	auto_500_130
BI_PAC_SARA	0.00264	0.041257	auto_500_130
TENT_DUM_BI_PAC_SARA	0.001289	0.018156	auto_500_130
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_130
LIN	0.010953	0.135411	auto_500_131
AFR	0.000962	0.009687	auto_500_131
MIM	0.001045	0.009251	auto_500_131
AFR_MIM	0.004833	0.057687	auto_500_131
TENT	0.000968	0.00664	auto_500_131
DUM	0.001143	0.006664	auto_500_131
TENT_DUM	0.004781	0.049099	auto_500_131
BI	0.001813	0.013243	auto_500_131
PAC	0.000215	0.001975	auto_500_131
SARA	0.000944	0.006982	auto_500_131
PAC_SARA	0.00053	0.006547	auto_500_131
BI_PAC_SARA	0.002843	0.042055	auto_500_131
TENT_DUM_BI_PAC_SARA	0.001581	0.017878	auto_500_131
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_131
LIN	0.010191	0.137244	auto_500_132
AFR	0.000838	0.01011	auto_500_132
MIM	0.001171	0.009668	auto_500_132
AFR_MIM	0.004485	0.05879	auto_500_132
TENT	0.000999	0.006177	auto_500_132
DUM	0.00115	0.006552	auto_500_132
TENT_DUM	0.004563	0.049772	auto_500_132
BI	0.001592	0.013751	auto_500_132
PAC	0.00018	0.001668	auto_500_132
SARA	0.000833	0.007249	auto_500_132
PAC_SARA	0.000486	0.006542	auto_500_132
BI_PAC_SARA	0.002779	0.043432	auto_500_132
TENT_DUM_BI_PAC_SARA	0.001313	0.017861	auto_500_132
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_132
LIN	0.010127	0.134961	auto_500_133
AFR	0.000801	0.008591	auto_500_133
MIM	0.001017	0.009019	auto_500_133
AFR_MIM	0.004514	0.056558	auto_500_133
TENT	0.001062	0.006692	auto_500_133
DUM	0.001082	0.006456	auto_500_133
TENT_DUM	0.0048	0.047441	auto_500_133
BI	0.001609	0.013072	auto_500_133
PAC	0.000117	0.001418	auto_500_133
SARA	0.000985	0.006538	auto_500_133
PAC_SARA	0.000492	0.006563	auto_500_133
BI_PAC_SARA	0.002882	0.043384	auto_500_133
TENT_DUM_BI_PAC_SARA	0.00165	0.018569	auto_500_133
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_133
LIN	0.010016	0.131845	auto_500_134
AFR	0.000859	0.008716	auto_500_134
MIM	0.00118	0.009116	auto_500_134
AFR_MIM	0.004366	0.056275	auto_500_134
TENT	0.001098	0.006249	auto_500_134
DUM	0.001217	0.006272	auto_500_134
TENT_DUM	0.004453	0.046495	auto_500_134
BI	0.001807	0.013515	auto_500_134
PAC	0.000199	0.001682	auto_500_134
SARA	0.000838	0.006725	auto_500_134
PAC_SARA	0.0005	0.00658	auto_500_134
BI_PAC_SARA	0.003042	0.041191	auto_500_134
TENT_DUM_BI_PAC_SARA	0.001361	0.017472	auto_500_134
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_134
LIN	0.010222	0.133848	auto_500_135
AFR	0.000941	0.008599	auto_500_135
MIM	0.001158	0.008352	auto_500_135
AFR_MIM	0.004365	0.057243	auto_500_135
TENT	0.000983	0.0067	auto_500_135
DUM	0.00128	0.00668	auto_500_135
TENT_DUM	0.004828	0.047355	auto_500_135
BI	0.001693	0.013078	auto_500_135
PAC	0.000191	0.001434	auto_500_135
SARA	0.000907	0.007061	auto_500_135
PAC_SARA	0.00049	0.006417	auto_500_135
BI_PAC_SARA	0.002803	0.039874	auto_500_135
TENT_DUM_BI_PAC_SARA	0.001367	0.01878	auto_500_135
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_135
LIN	0.009998	0.136222	auto_500_136
AFR	0.000799	0.009381	auto_500_136
MIM	0.001113	0.008793	auto_500_136
AFR_MIM	0.004257	0.05901	auto_500_136
TENT	0.000916	0.007094	auto_500_136
DUM	0.000997	0.006595	auto_500_136
TENT_DUM	0.004413	0.049144	auto_500_136
BI	0.001674	0.013325	auto_500_136
PAC	0.00016	0.001706	auto_500_136
SARA	0.000981	0.006784	auto_500_136
